capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2016-01-11,0,ST4000DM000,Z300ZT9W,21864256.0,11.0,1.0,0.0,0.0,0.0,9.0,24.0,2.0,11534.0,24.0,0.0,0.0,0.0,16876.0,21658195710.0,205629485467.0,91.0,11.0,0.0,299238459.0,16925.0
4000787030016,2016-01-11,0,ST4000DM000,Z3015LGV,186602736.0,18.0,1.0,0.0,0.0,0.0,5.0,23.0,10.0,5042.0,23.0,0.0,0.0,0.0,897648182663.0,22501810068.0,227446240529.0,92.0,18.0,0.0,382717356.0,17822.0
4000787030016,2016-01-11,0,ST4000DM000,W300STSA,63892264.0,16.0,1.0,0.0,0.0,0.0,3.0,21.0,9.0,11756.0,21.0,0.0,0.0,0.0,13813.0,22055883356.0,188768416392.0,92.0,16.0,0.0,43518099.0,13856.0
4000787030016,2016-07-09,0,ST4000DM000,Z3059E5K,23250872.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,7540.0,29.0,0.0,0.0,0.0,4207.0,23708232568.0,3276009828.0,96.0,4.0,0.0,213317585.0,4254.0
4000787030016,2016-03-08,0,ST4000DM000,Z305D6FD,225728128.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1876.0,22.0,0.0,0.0,0.0,247.0,7922140807.0,411926964.0,97.0,3.0,0.0,9478342.0,253.0
4000787030016,2016-01-11,0,ST4000DM000,S300YQ8F,221346888.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,38987.0,28.0,0.0,0.0,0.0,5017.0,21297276360.0,15533376503.0,99.0,1.0,0.0,218792683.0,5293.0
4000787030016,2016-01-11,0,ST4000DM000,S300Z40B,71248464.0,8.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12798.0,36.0,0.0,0.0,0.0,3292.0,18979508448.0,2087520639.0,92.0,8.0,0.0,152387066.0,3370.0
4000787030016,2016-07-09,0,ST4000DM000,Z304KC8T,211197088.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,13932.0,23.0,0.0,0.0,0.0,5782.0,23177337048.0,7343755053.0,95.0,5.0,0.0,223574330.0,5916.0
4000787030016,2016-01-11,0,ST4000DM000,Z300XC5K,57992800.0,14.0,0.0,0.0,0.0,0.0,14.0,17.0,3.0,27914.0,17.0,0.0,0.0,0.0,18925.0,27291961638.0,140817919626.0,91.0,14.0,0.0,430627236.0,19035.0
4000787030016,2016-03-03,1,ST4000DM000,Z300GZE3,231658120.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,16768.0,25.0,6.0,6.0,0.0,22648.0,23881085694.0,115345501595.0,92.0,9.0,10.0,380062999.0,22850.0
4000787030016,2016-07-09,0,ST4000DM000,Z3059HDK,225068704.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,7433.0,32.0,0.0,0.0,0.0,4177.0,22485243512.0,2999566840.0,97.0,3.0,0.0,205684742.0,4258.0
4000787030016,2016-07-09,0,ST4000DM000,S301PQVV,178426056.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5037.0,24.0,0.0,0.0,0.0,5577.0,24751191248.0,3593107893.0,98.0,2.0,0.0,244715586.0,5624.0
